
2023/09/26 (10:28:42) | ===> btop++ v.1.2.13
2023/09/26 (10:28:42) | INFO: Logger set to DEBUG
2023/09/26 (10:28:42) | DEBUG: Using locale en_US.UTF-8
2023/09/26 (10:28:42) | INFO: Running on /dev/pts/2
2023/09/26 (10:28:42) | DEBUG: Loading theme file: /home/nbd/.config/btop/themes/hi.theme
2023/09/26 (11:20:44) | DEBUG: Writing new config file
2023/09/26 (11:20:44) | INFO: Quitting! Runtime: 00:52:02

2023/09/26 (11:21:52) | ===> btop++ v.1.2.13
2023/09/26 (11:21:52) | INFO: Logger set to DEBUG
2023/09/26 (11:21:52) | DEBUG: Using locale en_US.UTF-8
2023/09/26 (11:21:52) | INFO: Running on /dev/pts/2
2023/09/26 (11:21:57) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2023/09/26 (11:21:57) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2023/09/26 (11:21:57) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2023/09/26 (11:21:58) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2023/09/26 (11:21:58) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/09/26 (11:21:58) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2023/09/26 (11:21:59) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2023/09/26 (11:21:59) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2023/09/26 (11:22:00) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2023/09/26 (11:22:00) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2023/09/26 (11:22:00) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2023/09/26 (11:22:01) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/09/26 (11:22:02) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/09/26 (11:22:02) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2023/09/26 (11:22:03) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/09/26 (11:22:04) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2023/09/26 (11:22:04) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/09/26 (11:22:05) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2023/09/26 (11:22:05) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2023/09/26 (11:22:05) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/09/26 (11:22:06) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2023/09/26 (11:22:07) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2023/09/26 (11:22:07) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2023/09/26 (11:22:07) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2023/09/26 (11:22:07) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2023/09/26 (11:22:08) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2023/09/26 (11:22:08) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/09/26 (11:23:16) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/09/26 (11:23:39) | DEBUG: Writing new config file
2023/09/26 (11:23:39) | INFO: Quitting! Runtime: 00:01:47

2023/09/26 (11:23:42) | ===> btop++ v.1.2.13
2023/09/26 (11:23:42) | INFO: Logger set to DEBUG
2023/09/26 (11:23:42) | DEBUG: Using locale en_US.UTF-8
2023/09/26 (11:23:42) | INFO: Running on /dev/pts/2
2023/09/26 (11:23:42) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/10/18 (16:39:38) | ===> btop++ v.1.2.13
2023/10/18 (16:39:38) | INFO: Logger set to DEBUG
2023/10/18 (16:39:38) | DEBUG: Using locale en_US.UTF-8
2023/10/18 (16:39:38) | INFO: Running on /dev/pts/0
2023/10/18 (16:39:38) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/10/18 (16:39:48) | ===> btop++ v.1.2.13
2023/10/18 (16:39:48) | INFO: Logger set to DEBUG
2023/10/18 (16:39:48) | DEBUG: Using locale en_US.UTF-8
2023/10/18 (16:39:48) | INFO: Running on /dev/pts/1
2023/10/18 (16:39:48) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/10/18 (16:39:55) | INFO: Quitting! Runtime: 00:00:17

2023/10/18 (16:40:34) | ===> btop++ v.1.2.13
2023/10/18 (16:40:34) | INFO: Logger set to DEBUG
2023/10/18 (16:40:34) | DEBUG: Using locale en_US.UTF-8
2023/10/18 (16:40:34) | INFO: Running on /dev/pts/1
2023/10/18 (16:40:34) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/10/28 (14:12:33) | ===> btop++ v.1.2.13
2023/10/28 (14:12:33) | INFO: Logger set to DEBUG
2023/10/28 (14:12:33) | DEBUG: Using locale en_US.UTF-8
2023/10/28 (14:12:33) | INFO: Running on /dev/pts/0
